Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price
Epping,3,h,S,hockingstuart,19.6,3076.0,3.0,1.0,0.0,518.0,,,Whittlesea City Council,-37.64887,145.04254,Northern Metropolitan,10926.0,561000
Coburg North,3,h,SP,hockingstuart,9.2,3058.0,3.0,2.0,2.0,173.0,120.0,2010.0,Darebin City Council,-37.7308,144.9832,Northern Metropolitan,3445.0,715000
Kew East,6,h,VB,Noel,7.5,3102.0,6.0,3.0,2.0,730.0,310.0,1968.0,Boroondara City Council,-37.7917,145.0509,Southern Metropolitan,2671.0,1300000
Ashburton,2,h,S,Marshall,11.0,3147.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,3052.0,1820000
Ascot Vale,1,u,S,Alexkarbon,5.9,3032.0,1.0,1.0,1.0,0.0,58.0,1972.0,Moonee Valley City Council,-37.7723,144.9094,Western Metropolitan,6567.0,390000
Kew,3,h,VB,Marshall,5.4,3101.0,3.0,2.0,2.0,844.0,,,Boroondara City Council,-37.80619,145.05723,Southern Metropolitan,10331.0,3300000
Doncaster,3,h,S,Barry,12.4,3108.0,3.0,1.0,1.0,633.0,,,Manningham City Council,-37.79094,145.11335,Eastern Metropolitan,9028.0,1060000
Hawthorn East,3,h,PI,hockingstuart,7.5,3123.0,3.0,2.0,2.0,466.0,176.0,1915.0,Boroondara City Council,-37.8305,145.0475,Southern Metropolitan,6482.0,1450000
Camberwell,2,u,SP,LITTLE,7.8,3124.0,2.0,1.0,1.0,896.0,77.0,1960.0,Boroondara City Council,-37.8479,145.0958,Southern Metropolitan,8920.0,435000
Hoppers Crossing,3,h,S,hockingstuart,18.4,3029.0,3.0,2.0,2.0,530.0,,,Wyndham City Council,-37.86515,144.66671,Western Metropolitan,13830.0,530000
Glenroy,3,h,S,Barry,13.0,3046.0,3.0,1.0,2.0,650.0,142.0,1960.0,Moreland City Council,-37.7002,144.9408,Northern Metropolitan,8870.0,580000
Taylors Lakes,3,h,S,YPA,15.5,3038.0,3.0,2.0,3.0,723.0,,,Brimbank City Council,-37.70458,144.79505,Western Metropolitan,5336.0,693000
Altona Meadows,3,h,SP,Barlow,15.5,3028.0,3.0,2.0,4.0,465.0,,,Hobsons Bay City Council,-37.87792,144.77918,Western Metropolitan,7630.0,630000
Reservoir,3,u,S,Barry,12.0,3073.0,3.0,1.0,1.0,178.0,100.0,2009.0,Darebin City Council,-37.70985,145.02073,Northern Metropolitan,21650.0,510000
Blackburn North,4,h,SP,Noel,13.4,3130.0,4.0,2.0,1.0,797.0,164.0,1960.0,Whitehorse City Council,-37.80755,145.1638,Eastern Metropolitan,2867.0,1280000
Glen Iris,3,h,S,RT,9.2,3146.0,3.0,1.0,3.0,401.0,107.0,1935.0,Boroondara City Council,-37.8471,145.051,Southern Metropolitan,10412.0,1500000
St Kilda,2,u,S,Wilson,5.0,3182.0,2.0,1.0,1.0,,,1967.0,Port Phillip City Council,-37.86804,144.98125,Southern Metropolitan,13240.0,640000
Bentleigh East,4,h,S,hockingstuart,13.9,3165.0,4.0,2.0,2.0,619.0,191.0,1960.0,Glen Eira City Council,-37.9358,145.0688,Southern Metropolitan,10969.0,1200000
Reservoir,5,h,S,Ray,11.2,3073.0,5.0,2.0,1.0,578.0,,,Darebin City Council,-37.7061,145.0147,Northern Metropolitan,21650.0,1050000
Toorak,4,h,PI,Sotheby's,4.6,3142.0,4.0,2.0,2.0,237.0,,,Stonnington City Council,-37.8507,145.0298,Southern Metropolitan,7217.0,2025000
Glen Iris,3,h,S,Jellis,9.2,3146.0,3.0,2.0,2.0,307.0,,,Boroondara City Council,-37.8531,145.086,Southern Metropolitan,10412.0,1550000
Dandenong,3,h,S,Ray,24.7,3175.0,3.0,1.0,2.0,624.0,150.0,1970.0,Greater Dandenong City Council,-37.97806,145.20432,South-Eastern Metropolitan,10894.0,678000
Brighton East,3,u,S,RT,10.7,3187.0,,,,,,,Bayside City Council,,,Southern Metropolitan,6938.0,1465000
Prahran,2,h,VB,Beller,4.5,3181.0,2.0,1.0,2.0,222.0,108.0,1930.0,Stonnington City Council,-37.8501,144.9995,Southern Metropolitan,7717.0,1500000
Albert Park,2,h,S,Cayzer,3.0,3206.0,2.0,2.0,,92.0,,,Port Phillip City Council,-37.8442,144.958,Southern Metropolitan,3280.0,1550000
Elsternwick,2,u,SP,hockingstuart,7.2,3185.0,2.0,1.0,2.0,,77.0,2002.0,Glen Eira City Council,-37.88472,145.00025,Southern Metropolitan,4898.0,566000
Footscray,3,u,SP,Brad,5.1,3011.0,,,,,,,Maribyrnong City Council,,,Western Metropolitan,7570.0,517000
Wantirna South,3,h,SP,Harcourts,14.7,3152.0,3.0,1.0,2.0,710.0,,,Knox City Council,-37.86282,145.25094,Eastern Metropolitan,7082.0,820000
Heidelberg West,5,h,S,William,8.8,3081.0,5.0,2.0,2.0,,,,Banyule City Council,-37.74856,145.03684,Eastern Metropolitan,2674.0,900000
Bentleigh East,4,h,S,hockingstuart,13.8,3165.0,4.0,2.0,2.0,426.0,255.0,2014.0,Glen Eira City Council,-37.91657,145.05534,Southern Metropolitan,10969.0,1620000
Bundoora,4,h,SP,Ray,12.1,3083.0,4.0,2.0,3.0,543.0,,,Banyule City Council,-37.69852,145.06523,Northern Metropolitan,10175.0,850000
Ascot Vale,2,u,S,Brad,5.9,3032.0,2.0,1.0,2.0,228.0,90.0,1995.0,Moonee Valley City Council,-37.7718,144.9066,Western Metropolitan,6567.0,685000
Mooroolbark,5,h,S,Fletchers,26.5,3138.0,5.0,2.0,2.0,866.0,,,Yarra Ranges Shire Council,-37.7674,145.3148,Eastern Victoria,8280.0,740000
Kew,2,u,S,Jellis,5.4,3101.0,2.0,1.0,1.0,,0.0,1965.0,Boroondara City Council,-37.80882,145.03844,Southern Metropolitan,10331.0,1005000
Armadale,3,t,S,Jellis,6.3,3143.0,3.0,2.0,2.0,101.0,105.0,2000.0,Stonnington City Council,-37.854,145.0135,Southern Metropolitan,4836.0,1205000
Sunshine North,3,h,PI,Douglas,13.3,3020.0,3.0,1.0,2.0,541.0,,,Brimbank City Council,-37.7669,144.8308,Western Metropolitan,4217.0,490000
Richmond,3,h,VB,Jellis,2.4,3121.0,3.0,1.0,1.0,,,,Yarra City Council,-37.82046,145.00883,Northern Metropolitan,14949.0,1600000
Williamstown,4,h,S,Greg,8.0,3016.0,3.0,2.0,2.0,782.0,212.0,1900.0,Hobsons Bay City Council,-37.8647,144.8867,Western Metropolitan,6380.0,2230000
Coburg North,3,h,SP,hockingstuart,6.7,3058.0,,,,,,,Darebin City Council,,,Northern Metropolitan,3445.0,800000
Footscray,2,u,SP,Jas,6.4,3011.0,2.0,1.0,1.0,0.0,66.0,2012.0,Maribyrnong City Council,-37.8017,144.8957,Western Metropolitan,7570.0,433000
Sunshine,4,h,S,Barry,12.6,3020.0,4.0,1.0,2.0,562.0,,,Brimbank City Council,-37.7919,144.8394,Western Metropolitan,3755.0,888000
Elwood,3,h,S,Chisholm,7.2,3184.0,3.0,2.0,3.0,144.0,,,Port Phillip City Council,-37.88617,144.9833,Southern Metropolitan,8989.0,1820000
Hampton East,3,h,S,Buxton,14.5,3188.0,,,,,,,Bayside City Council,,,Southern Metropolitan,2356.0,1326000
Toorak,3,u,VB,RT,4.6,3142.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,7217.0,2100000
Northcote,3,h,S,Jellis,5.3,3070.0,3.0,1.0,2.0,,,,Darebin City Council,-37.7722,145.0125,Northern Metropolitan,11364.0,1290000
Hillside,5,h,PI,Barry,18.0,3037.0,5.0,2.0,2.0,666.0,157.0,1998.0,Brimbank City Council,-37.70382,144.75342,Western Metropolitan,5556.0,650000
Kew,5,h,VB,hockingstuart,5.6,3101.0,5.0,2.0,2.0,674.0,281.0,1959.0,Boroondara City Council,-37.8064,145.0608,Southern Metropolitan,10331.0,2600000
Croydon,3,h,S,McGrath,23.0,3136.0,3.0,1.0,2.0,850.0,148.0,1970.0,Maroondah City Council,-37.78703,145.29502,Eastern Metropolitan,11925.0,768000
Langwarrin,2,u,SP,Mindacom,41.0,3910.0,2.0,1.0,1.0,196.0,,2012.0,Frankston City Council,-38.16439,145.1978,Eastern Victoria,8743.0,400000
West Melbourne,1,u,S,Nelson,1.9,3003.0,1.0,1.0,1.0,547.0,58.0,1900.0,Melbourne City Council,-37.806,144.942,Northern Metropolitan,2230.0,443000
Tullamarine,3,h,SP,Jason,12.9,3043.0,3.0,1.0,4.0,802.0,108.0,1960.0,Brimbank City Council,-37.6899,144.87418,Western Metropolitan,3296.0,805000
Glen Waverley,4,h,S,Fletchers,16.7,3150.0,4.0,2.0,2.0,657.0,208.0,1970.0,Monash City Council,-37.8697,145.18103,Eastern Metropolitan,15321.0,1280000
Maidstone,2,u,SP,Biggin,9.2,3012.0,2.0,1.0,1.0,0.0,70.0,2009.0,Maribyrnong City Council,-37.7776,144.8723,Western Metropolitan,3873.0,335000
Hampton East,5,h,SP,Buxton,13.8,3188.0,,,,,,,Bayside City Council,,,Southern Metropolitan,2356.0,1590000
Yarraville,3,h,SP,Jas,6.3,3013.0,3.0,1.0,1.0,358.0,,,Maribyrnong City Council,-37.82116,144.89181,Western Metropolitan,6543.0,1042000
Mill Park,2,t,S,hockingstuart,17.9,3082.0,,,,,,,Whittlesea City Council,,,Northern Metropolitan,10529.0,488000
Brunswick,2,u,SP,Nelson,5.2,3056.0,2.0,1.0,1.0,,61.0,1970.0,Moreland City Council,-37.75675,144.96753,Northern Metropolitan,11918.0,495000
Keilor East,3,u,VB,Barry,11.7,3033.0,,,,,,,Brimbank City Council,,,Western Metropolitan,5629.0,550000
Glen Waverley,3,u,S,Ray,16.7,3150.0,,,,,,,Monash City Council,,,Eastern Metropolitan,15321.0,1100000
Burwood,3,h,S,Buxton,11.7,3125.0,3.0,1.0,2.0,706.0,,,Monash City Council,-37.8509,145.1161,Southern Metropolitan,5678.0,1468000
Parkville,3,h,S,Collins,2.6,3052.0,3.0,2.0,1.0,180.0,120.0,1890.0,Melbourne City Council,-37.7961,144.9538,Northern Metropolitan,2309.0,2790000
Altona,3,h,VB,PRD,11.0,3018.0,3.0,2.0,2.0,584.0,,,Hobsons Bay City Council,-37.86249,144.82162,Western Metropolitan,5301.0,920000
Caulfield North,1,u,SP,Gary,8.1,3161.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,6923.0,3050000
Sunbury,3,h,S,L,31.7,3429.0,3.0,1.0,2.0,,,1990.0,Hume City Council,-37.55971,144.73002,Western Metropolitan,14092.0,545000
Spotswood,3,u,S,RT,7.7,3015.0,3.0,1.0,1.0,221.0,120.0,2003.0,Hobsons Bay City Council,-37.8297,144.8752,Western Metropolitan,1223.0,660000
Oakleigh East,3,u,S,Ray,12.3,3166.0,,,,,,,Monash City Council,,,Southern Metropolitan,2547.0,800000
Sunbury,4,h,S,Raine,31.7,3429.0,4.0,2.0,1.0,,,,Hume City Council,-37.57315,144.72712,Western Metropolitan,14092.0,475000
St Kilda,1,u,S,Biggin,6.1,3182.0,,,,,,,Port Phillip City Council,-37.8594,144.9808,Southern Metropolitan,13240.0,405000
Coburg North,3,h,S,Walshe,9.2,3058.0,,,,,,,Darebin City Council,,,Northern Metropolitan,3445.0,835500
Abbotsford,3,h,S,Jellis,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra City Council,-37.8056,144.993,Northern Metropolitan,4019.0,1200000
Templestowe Lower,3,h,S,Barry,13.8,3107.0,3.0,1.0,2.0,743.0,,,Manningham City Council,-37.7703,145.1086,Eastern Metropolitan,5420.0,1370000
Camberwell,3,h,S,Marshall,7.8,3124.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,8920.0,2132500
Newport,4,h,S,Sweeney,6.2,3015.0,4.0,1.0,1.0,390.0,,,Hobsons Bay City Council,-37.84283,144.87959,Western Metropolitan,5498.0,1005000
Bentleigh East,3,u,S,hockingstuart,13.9,3165.0,3.0,1.0,2.0,406.0,100.0,1996.0,Glen Eira City Council,-37.9286,145.0737,Southern Metropolitan,10969.0,790000
Niddrie,4,h,S,Barry,10.4,3042.0,4.0,3.0,2.0,564.0,500.0,,Moonee Valley City Council,-37.73666,144.87725,Western Metropolitan,2291.0,1751000
Bentleigh,4,h,S,Buxton,13.0,3204.0,3.0,2.0,2.0,795.0,250.0,1928.0,Glen Eira City Council,-37.9166,145.0314,Southern Metropolitan,6795.0,2435000
Bentleigh,2,u,S,Buxton,11.4,3204.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,6795.0,818000
Beaumaris,2,t,S,Buxton,17.3,3193.0,2.0,2.0,2.0,,,,Bayside City Council,-37.98623,145.04406,Southern Metropolitan,5366.0,865000
Clifton Hill,2,h,S,Nelson,3.4,3068.0,2.0,1.0,1.0,103.0,,,Yarra City Council,-37.7898,144.9957,Northern Metropolitan,2954.0,730000
Kew,4,h,PI,Jellis,5.6,3101.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,10331.0,1380000
Bentleigh East,4,t,S,Buxton,13.9,3165.0,3.0,2.0,2.0,319.0,256.0,2015.0,Glen Eira City Council,-37.9256,145.0533,Southern Metropolitan,10969.0,1465000
Brunswick,3,h,S,Jellis,5.2,3056.0,3.0,1.0,2.0,,,,Moreland City Council,-37.76896,144.96762,Northern Metropolitan,11918.0,1320000
Wollert,4,h,SP,hockingstuart,25.5,3750.0,4.0,2.0,2.0,448.0,155.0,2011.0,Whittlesea City Council,-37.61944,145.01243,Northern Metropolitan,2940.0,530000
West Footscray,1,u,SP,Sweeney,8.2,3012.0,1.0,1.0,1.0,628.0,44.0,1970.0,Maribyrnong City Council,-37.7993,144.8794,Western Metropolitan,5058.0,288000
Northcote,3,h,PI,Woodards,5.3,3070.0,3.0,2.0,0.0,268.0,,1930.0,Darebin City Council,-37.7648,145.0129,Northern Metropolitan,11364.0,892500
Richmond,1,u,SP,RT,2.6,3121.0,1.0,1.0,1.0,0.0,,,Yarra City Council,-37.8231,144.9906,Northern Metropolitan,14949.0,450000
Croydon Hills,4,h,S,McGrath,23.0,3136.0,4.0,2.0,2.0,1187.0,190.0,1983.0,Maroondah City Council,-37.77936,145.26143,Eastern Metropolitan,1705.0,1010000
Seaholme,2,t,SP,hockingstuart,11.0,3018.0,,,,,,,Hobsons Bay City Council,,,Western Metropolitan,852.0,455000
Camberwell,2,h,VB,Jellis,7.7,3124.0,,,,,,,,,,,,825000
Bentleigh East,2,u,SP,Woodards,13.9,3165.0,2.0,1.0,1.0,96.0,,,Glen Eira City Council,-37.9102,145.0709,Southern Metropolitan,10969.0,495000
Greenvale,4,h,S,Barry,20.4,3059.0,4.0,2.0,2.0,4007.0,,,Hume City Council,-37.6468,144.8847,Northern Metropolitan,4864.0,1210000
Roxburgh Park,4,h,S,RW,20.6,3064.0,4.0,3.0,2.0,602.0,175.0,1990.0,Hume City Council,-37.6295,144.9278,Northern Metropolitan,5833.0,577500
Toorak,2,h,S,Kay,4.6,3142.0,2.0,2.0,0.0,218.0,,,Stonnington City Council,-37.847,145.0064,Southern Metropolitan,7217.0,1900000
Malvern,2,u,SP,hockingstuart,7.4,3144.0,2.0,1.0,1.0,0.0,80.0,1970.0,Stonnington City Council,-37.8633,145.0338,Southern Metropolitan,4675.0,566000
Brighton,2,u,S,J,11.2,3186.0,2.0,1.0,1.0,0.0,,1950.0,Bayside City Council,-37.9097,144.9914,Southern Metropolitan,10579.0,590000
Rosanna,4,h,VB,Nelson,11.4,3084.0,,,,,,,Banyule City Council,,,Eastern Metropolitan,3540.0,1050000
Hawthorn East,5,h,VB,RT,7.5,3123.0,5.0,3.0,3.0,757.0,240.0,1925.0,Boroondara City Council,-37.8176,145.0548,Southern Metropolitan,6482.0,2500000
Albion,2,h,S,Barry,13.9,3020.0,2.0,1.0,2.0,463.0,85.0,,Brimbank City Council,-37.7813,144.8234,Western Metropolitan,2185.0,460000
Canterbury,4,h,S,Marshall,8.4,3126.0,4.0,1.0,2.0,,175.0,1910.0,Boroondara City Council,-37.82633,145.07389,Southern Metropolitan,3265.0,2725000
Essendon,2,u,S,Nelson,8.0,3040.0,2.0,1.0,1.0,0.0,72.0,1960.0,Moonee Valley City Council,-37.7545,144.8964,Western Metropolitan,9264.0,460000
Mill Park,3,h,SP,Love,17.9,3082.0,3.0,1.0,0.0,432.0,104.0,1994.0,Whittlesea City Council,-37.65218,145.05929,Northern Metropolitan,10529.0,592500
Ferntree Gully,4,h,S,Schroeder,24.8,3156.0,4.0,2.0,2.0,739.0,225.0,1977.0,Knox City Council,-37.89109,145.26128,Eastern Metropolitan,10788.0,880000
Blackburn South,3,h,SP,Barry,13.4,3130.0,3.0,1.0,3.0,661.0,,,Whitehorse City Council,-37.83467,145.15089,Eastern Metropolitan,4387.0,1070000
Brunswick,3,h,S,Barry,5.2,3056.0,3.0,1.0,1.0,438.0,,,Moreland City Council,-37.7758,144.9508,Northern Metropolitan,11918.0,1135000
Newport,4,t,S,Greg,8.4,3015.0,4.0,3.0,2.0,221.0,,,Hobsons Bay City Council,-37.8424,144.8653,Western Metropolitan,5498.0,827500
Carlton,3,u,S,Nelson,1.8,3053.0,3.0,2.0,1.0,0.0,,,Melbourne City Council,-37.7946,144.9716,Northern Metropolitan,6786.0,1110000
Heidelberg,3,h,S,Darren,10.6,3084.0,3.0,2.0,0.0,600.0,,,Banyule City Council,-37.7523,145.0676,Eastern Metropolitan,2890.0,1340000
Bundoora,4,h,S,YPA,12.1,3083.0,4.0,2.0,2.0,556.0,,,Banyule City Council,-37.6831,145.05981,Northern Metropolitan,10175.0,921000
Port Melbourne,3,u,S,Marshall,3.8,3207.0,3.0,2.0,2.0,5042.0,102.0,1995.0,Melbourne City Council,-37.8405,144.9319,Southern Metropolitan,8648.0,2460000
Bentleigh,2,u,S,hockingstuart,13.0,3204.0,2.0,1.0,3.0,336.0,109.0,1960.0,Glen Eira City Council,-37.929,145.0375,Southern Metropolitan,6795.0,820000
Essendon,4,h,S,Nelson,7.5,3040.0,4.0,2.0,3.0,951.0,238.0,1930.0,Moonee Valley City Council,-37.74997,144.90752,Western Metropolitan,9264.0,2165000
Craigieburn,4,h,VB,Barry,20.6,3064.0,4.0,2.0,2.0,448.0,142.0,2010.0,Hume City Council,-37.57027,144.91699,Northern Metropolitan,15510.0,520000
Essendon,4,h,SP,Frank,7.5,3040.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,9264.0,1725000
Ivanhoe East,3,h,S,Nelson,7.8,3079.0,3.0,2.0,1.0,697.0,128.0,1930.0,Banyule City Council,-37.77536,145.06295,Eastern Metropolitan,1554.0,1535000
Brighton,4,h,PI,Buxton,10.5,3186.0,4.0,4.0,4.0,508.0,465.0,2011.0,Bayside City Council,-37.90904,144.99868,Southern Metropolitan,10579.0,4050000
St Kilda,2,u,PI,McGrath,6.1,3182.0,2.0,1.0,0.0,0.0,95.0,1930.0,Port Phillip City Council,-37.8617,144.9796,Southern Metropolitan,13240.0,580000
Bentleigh East,3,h,S,Buxton,13.9,3165.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969.0,1057000
Williamstown North,3,t,VB,Jas,8.9,3016.0,3.0,2.0,2.0,146.0,141.0,2001.0,Hobsons Bay City Council,-37.857,144.8846,Western Metropolitan,802.0,670000
Narre Warren,3,h,S,O'Brien,34.1,3805.0,3.0,2.0,2.0,,130.0,1998.0,Casey City Council,-38.03988,145.31927,South-Eastern Metropolitan,9376.0,570000
Richmond,1,u,SP,Biggin,2.4,3121.0,,,,,,,Yarra City Council,,,Northern Metropolitan,14949.0,520000
St Kilda,2,h,S,Biggin,6.1,3182.0,2.0,1.0,0.0,124.0,,1908.0,Port Phillip City Council,-37.8562,144.9848,Southern Metropolitan,13240.0,808000
Brighton,2,u,VB,RT,10.5,3186.0,,,,,,,Bayside City Council,,,Southern Metropolitan,10579.0,650000
Glen Huntly,2,u,S,Buxton,10.4,3163.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,2403.0,535000
Armadale,2,u,S,Jellis,6.3,3143.0,2.0,1.0,1.0,0.0,,,Stonnington City Council,-37.8528,145.0268,Southern Metropolitan,4836.0,825000
West Footscray,2,h,S,Village,8.2,3012.0,3.0,1.0,1.0,267.0,95.0,1940.0,Maribyrnong City Council,-37.8021,144.8629,Western Metropolitan,5058.0,770000
Brunswick,2,u,SP,Jellis,5.2,3056.0,,,,,,,Moreland City Council,,,Northern Metropolitan,11918.0,757000
Camberwell,3,h,S,Marshall,7.7,3124.0,3.0,2.0,2.0,570.0,,,Boroondara City Council,-37.83613,145.09037,Southern Metropolitan,8920.0,1827000
Sunshine West,3,h,S,Barry,10.5,3020.0,3.0,1.0,2.0,613.0,105.0,1974.0,Brimbank City Council,-37.80046,144.82676,Western Metropolitan,6763.0,551000
Tullamarine,3,h,S,Jason,12.9,3043.0,3.0,1.0,1.0,529.0,,,Brimbank City Council,-37.69964,144.87718,Western Metropolitan,3296.0,647000
Balwyn North,4,h,PI,Fletchers,9.7,3104.0,4.0,2.0,2.0,837.0,,,Boroondara City Council,-37.78817,145.06729,Southern Metropolitan,7809.0,1760000
Prahran,2,u,S,McGrath,4.6,3181.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,7717.0,788000
Armadale,2,u,SP,Greg,6.3,3143.0,2.0,1.0,1.0,0.0,74.0,1969.0,Stonnington City Council,-37.8573,145.0186,Southern Metropolitan,4836.0,704000
Clifton Hill,2,u,S,Nelson,3.6,3068.0,2.0,1.0,0.0,0.0,,1968.0,Yarra City Council,-37.78745,145.00061,Northern Metropolitan,2954.0,556000
Highett,3,h,S,Hodges,16.0,3190.0,3.0,2.0,2.0,728.0,137.0,1960.0,Bayside City Council,-37.94938,145.03099,Southern Metropolitan,4794.0,1430000
Box Hill,5,h,S,Lindellas,10.9,3128.0,5.0,3.0,4.0,,207.0,1930.0,Whitehorse City Council,-37.815,145.12687,Eastern Metropolitan,4605.0,1941000
Balwyn North,5,h,S,Jellis,9.2,3104.0,4.0,2.0,2.0,939.0,,1957.0,Boroondara City Council,-37.7998,145.0862,Southern Metropolitan,7809.0,1836000
Elwood,1,u,S,Gary,7.7,3184.0,1.0,1.0,1.0,0.0,37.0,1970.0,Port Phillip City Council,-37.8839,144.9903,Southern Metropolitan,8989.0,347000
Burnside Heights,3,h,S,Barry,14.8,3023.0,4.0,2.0,2.0,480.0,195.0,2007.0,Melton City Council,-37.73321,144.75752,Western Metropolitan,1686.0,593000
Reservoir,3,h,S,Ray,11.2,3073.0,3.0,3.0,2.0,618.0,153.0,1960.0,Darebin City Council,-37.7154,144.9962,Northern Metropolitan,21650.0,915000
Blackburn South,4,h,S,Stockdale,13.4,3130.0,4.0,2.0,2.0,,,1978.0,Whitehorse City Council,-37.8414,145.1516,Eastern Metropolitan,4387.0,1065000
Nunawading,3,u,VB,Fletchers,15.4,3131.0,,,,,,,Manningham City Council,,,Eastern Metropolitan,4973.0,650000
Ormond,1,u,S,Ray,11.4,3204.0,1.0,1.0,1.0,1006.0,51.0,2010.0,Glen Eira City Council,-37.90164,145.04139,Southern Metropolitan,3578.0,454000
Brighton East,5,h,PI,RT,10.7,3187.0,5.0,3.0,2.0,551.0,346.0,2016.0,Bayside City Council,-37.9176,145.009,Southern Metropolitan,6938.0,2550000
Bentleigh East,4,h,S,Buxton,13.9,3165.0,3.0,2.0,1.0,651.0,,,Glen Eira City Council,-37.919,145.0558,Southern Metropolitan,10969.0,1306000
Prahran,2,u,SP,Thomson,4.5,3181.0,2.0,1.0,1.0,72.0,69.0,1976.0,Stonnington City Council,-37.8542,145.0024,Southern Metropolitan,7717.0,550000
Port Melbourne,3,h,SP,Marshall,3.5,3207.0,3.0,2.0,0.0,,,,Melbourne City Council,-37.83261,144.9383,Southern Metropolitan,8648.0,1265000
Glenroy,3,h,S,Nelson,11.2,3046.0,3.0,1.0,2.0,764.0,,,Moreland City Council,-37.71189,144.90848,Northern Metropolitan,8870.0,835000
Patterson Lakes,4,h,PI,Buxton,31.2,3197.0,4.0,2.0,2.0,460.0,236.0,2010.0,Kingston City Council,-38.06049,145.14094,South-Eastern Metropolitan,3351.0,975000
Lalor,3,h,S,Barry,16.3,3075.0,3.0,2.0,1.0,655.0,120.0,1975.0,Whittlesea City Council,-37.67414,145.0205,Northern Metropolitan,8279.0,710500
Northcote,5,h,VB,Nelson,5.3,3070.0,5.0,2.0,2.0,,,,Darebin City Council,-37.77343,145.00077,Northern Metropolitan,11364.0,2800000
Reservoir,3,h,S,Biggin,12.0,3073.0,3.0,1.0,3.0,627.0,,,Darebin City Council,-37.70879,144.99905,Northern Metropolitan,21650.0,780000
Thornbury,4,h,S,Woodards,7.0,3071.0,4.0,2.0,2.0,523.0,145.0,,Darebin City Council,-37.75714,145.01981,Northern Metropolitan,8870.0,1516000
Elsternwick,2,u,S,Biggin,7.2,3185.0,2.0,1.0,1.0,1172.0,69.0,1970.0,Glen Eira City Council,-37.88533,145.01049,Southern Metropolitan,4898.0,550000
Gowanbrae,4,h,S,Nelson,13.6,3043.0,4.0,2.0,2.0,719.0,251.0,2000.0,Moreland City Council,-37.7062,144.8978,Western Metropolitan,1071.0,800000
Sunshine North,3,h,S,Stockdale,13.3,3020.0,3.0,1.0,2.0,707.0,101.0,1940.0,Brimbank City Council,-37.7676,144.8339,Western Metropolitan,4217.0,665000
Coburg,4,h,SP,Peter,7.8,3058.0,4.0,2.0,1.0,381.0,,1938.0,Darebin City Council,-37.7337,144.9548,Northern Metropolitan,11204.0,1000000
Melton West,3,h,SP,FN,31.7,3337.0,3.0,2.0,5.0,879.0,169.0,1990.0,Melton City Council,-37.66952,144.55359,Northern Victoria,6065.0,465000
South Melbourne,2,u,S,Greg,1.9,3205.0,,,,,,,Port Phillip City Council,,,Southern Metropolitan,5943.0,1272000
Elwood,3,h,VB,Chisholm,7.2,3184.0,3.0,2.0,3.0,548.0,153.0,1928.0,Port Phillip City Council,-37.88349,144.98711,Southern Metropolitan,8989.0,2450000
Middle Park,4,h,S,Marshall,4.1,3206.0,4.0,2.0,1.0,182.0,100.0,1900.0,Port Phillip City Council,-37.8518,144.9663,Southern Metropolitan,2019.0,3120000
Coburg,4,t,S,Barry,6.7,3058.0,,,,,,,Darebin City Council,,,Northern Metropolitan,11204.0,1025000
Blackburn,4,h,PI,Jellis,13.4,3130.0,4.0,2.0,2.0,697.0,,,Whitehorse City Council,-37.81245,145.16417,Eastern Metropolitan,5713.0,1660000
Fairfield,4,h,S,Jellis,5.7,3078.0,4.0,2.0,2.0,485.0,133.0,1920.0,Darebin City Council,-37.77044,145.02465,Northern Metropolitan,2970.0,1280000
Cremorne,1,u,VB,Biggin,2.4,3121.0,,,,,,,Yarra City Council,,,Northern Metropolitan,1123.0,525000
Box Hill,3,h,S,Fletchers,13.1,3128.0,4.0,1.0,1.0,492.0,119.0,1930.0,Whitehorse City Council,-37.8283,145.1195,Eastern Metropolitan,4605.0,857000
Mount Waverley,3,h,S,Purplebricks,14.2,3149.0,3.0,1.0,2.0,864.0,,,Monash City Council,-37.88925,145.1132,Eastern Metropolitan,13366.0,950000
Airport West,3,t,S,Nelson,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,723000
Eltham,3,h,S,Barry,18.0,3095.0,3.0,1.0,1.0,654.0,104.0,1985.0,Banyule City Council,-37.73209,145.13845,Eastern Metropolitan,6990.0,855000
Altona North,3,h,SP,Purplebricks,9.4,3025.0,3.0,1.0,2.0,583.0,,,Hobsons Bay City Council,-37.83856,144.8601,Western Metropolitan,5132.0,950000
